date,KeelungCity,NewTaipeiCity,TaipeiCity,TaoyuanCity,HsinchuCounty,HsinchuCity,MiaoliCounty,TaichungCity,ChanghuaCounty,NantouCounty,YunlinCounty,ChiayiCounty,ChiayiCity,TainanCity,KaohsiungCity,PingtungCounty,YilanCounty,HualienCounty,TaitungCounty,PenghuCounty,LienchiangCounty,KinmenCounty,Imported
20210510,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20210511,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
20210512,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
20210513,0,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20210514,0,16,6,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
20210515,1,79,86,4,1,0,0,1,6,0,0,0,0,0,0,0,4,0,0,0,0,0,5
20210516,2,92,93,3,1,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,1
20210517,6,148,158,10,0,0,1,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,2
20210518,3,104,103,12,0,1,0,0,10,0,1,0,0,0,3,0,0,0,0,0,0,0,5
20210519,5,130,70,15,0,2,0,5,28,0,0,0,0,2,6,0,3,0,0,0,0,0,8
20210520,5,161,81,17,0,0,0,3,6,0,1,0,0,0,2,0,8,0,0,0,0,0,9
20210521,8,147,125,11,0,0,0,6,5,1,1,0,0,0,4,1,2,0,0,0,0,0,3
20210522,10,386,264,22,2,3,1,11,4,1,1,0,0,1,3,5,3,3,0,0,0,0,2
20210523,5,207,165,24,1,2,0,5,11,8,2,1,1,2,0,8,7,1,0,0,0,0,3
20210524,7,281,244,22,1,0,2,8,12,1,0,0,0,3,5,3,0,0,0,0,0,0,5
20210525,12,249,196,23,1,4,2,10,12,2,1,0,0,4,3,4,8,1,2,0,0,0,2
20210526,14,251,310,25,4,0,1,11,2,0,2,0,1,8,2,2,2,1,1,0,1,0,2
20210527,18,328,223,23,5,1,1,10,13,1,1,0,3,1,14,3,10,6,4,0,2,0,4
20210528,8,270,212,22,1,1,0,10,9,1,0,0,2,6,1,1,0,9,1,0,0,0,2
20210529,14,221,166,18,2,1,3,33,2,0,1,4,0,0,1,0,5,4,5,0,0,0,7
20210530,8,199,82,24,0,1,9,9,9,4,0,3,0,0,1,0,1,6,1,0,1,0,0
20210531,3,173,120,27,1,2,3,5,10,0,0,0,0,0,1,0,0,1,0,1,0,0,4
20210601,8,163,89,23,1,0,2,10,12,0,0,4,0,1,1,0,5,3,3,1,0,0,4
20210602,18,314,147,28,2,1,12,3,10,1,0,0,0,2,5,0,0,1,4,0,0,0,0
20210603,5,264,222,29,0,1,33,5,15,0,0,0,0,2,1,0,1,1,0,0,0,0,2
20210604,6,231,148,12,1,1,43,7,6,2,1,1,0,0,1,1,1,1,0,0,0,0,2
20210605,13,226,138,18,7,1,66,9,11,3,1,3,0,1,3,4,0,0,0,0,0,0,0
20210606,3,141,64,16,3,0,71,2,3,0,3,0,1,2,3,0,9,0,0,0,0,0,0
20210607,3,81,59,5,1,3,36,0,8,0,0,1,0,0,0,1,1,0,0,3,0,0,3
20210608,8,123,54,13,0,1,16,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20210609,11,162,61,15,1,0,12,1,3,3,0,0,1,1,0,0,2,0,0,0,0,0,1
202106010,12,112,57,14,2,1,43,0,10,2,0,0,0,1,0,0,1,7,1,0,0,0,3
20210611,8,120,49,19,12,3,56,4,7,0,2,0,0,1,0,0,3,2,0,0,4,0,1
